PLA_CODE;SMP_DB_REAL;SMP_DE_REAL;SMP_D_ANALYSIS;POL_CODE;MEA_CODE;MEA_PHYSICAL_UNIT;MEA_VALUE;MEA_F_STATUS;JOB_TYPE;
"HBX03";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Cd";"PM@Cd";"ug/m2*jour";"5.52652733118971";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Cr";"PM@Cr";"ug/m2*jour";"27.1302250803859";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Ni";"PM@Ni";"ug/m2*jour";"9.29461414790997";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Pb";"PM@Pb";"ug/m2*jour";"11.8066720257235";"A";"DATA_VALIDATE_TECH";
"HBX03";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Zn";"PM@Zn";"ug/m2*jour";"55.0140675241157";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"PM";"PM";"g/m2*jour";"2.26802939825633E-02";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"As";"PM@As";"ug/m2*jour";"0.631603123564538";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Cd";"PM@Cd";"ug/m2*jour";"8.32567753789619E-02";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Cr";"PM@Cr";"ug/m2*jour";"11.1966008268259";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Ni";"PM@Ni";"ug/m2*jour";"2.64124942581534";"A";"DATA_VALIDATE_TECH";
"HBX04";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Pb";"PM@Pb";"ug/m2*jour";"3.73220027560864";"A";"DATA_VALIDATE_TECH";
