"Réseau";"Sous-réseau";"Code station (interne)";"Adr.N°";"Adr.Rue";"Adr.Localité";"LUREF X";"LUREF Y"
"Bergerhoff";"Differdange";"HDF45";"";"Cimetière Municipal";"Differdange";"59733";"64271";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF46";"";"Av. Charlotte Pépinière Fleurs Werding";"Differdange (Obercorn)";"59849";"64659";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF47";"4";"Rue St Etienne";"Differdange (Niederkorn)";"60472";"64517";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF48";"";"Cimetière Obercorn";"Differdange";"60988";"64650";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF53";"130";"Avenue du Parc des Sports";"Differdange (Niederkorn)";"60121";"64062";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF59";"2A";"rue Henri Jungers";"Differdange (Fousbann)";"60705";"65241";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF60";"";"Square Cité Henri Grey";"Differdange (Fousbann)";"61109";"65189";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF60A";"64";"rue Henri Grey";"Differdange (Fousbann)";"60959";"65324";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF60B";"84";"rue Henri Grey";"Differdange (Fousbann)";"60894";"65341";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF60C";"";"rue CM Spoo";"Differdange (Fousbann)";"60821";"65362";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF61";"";"Rue du Gaz (C.I.D.)";"Differdange (Fousbann)";"60326";"65204";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF62";"42";"rue des jardins "Am Wangert"";"Differdange";"59661";"65602";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF63";"68";"rue Pierre Gansen";"Differdange (Niederkorn)";"60314";"66915";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF64";"";"rue de la Chiers";"Differdange";"60315";"65046";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF65";"113";"Av. de la liberté";"Differdange (Niederkorn)";"59901";"66154";"";"";"";"";"";"";
"Bergerhoff";"Differdange";"HDF65A";"";"Av. De la Liberté";"Differdange (Niederkorn)";"59975";"66072";"";"";"";"";"";"";
"Bergerhoff";"Dommeldange";"HDO01";"";"Rue Hertert";"Dommeldange (Beggen)";"77048";"79251";"";"";"";"";"";"";
"Bergerhoff";"Dommeldange";"HDO02";"37";"Rue de Bourgogne ";"Dommeldange";"77394";"77865";"";"";"";"";"";"";
